time,open,high,low,close,tick_volume,spread,real_volume
2026-06-24 16:11:00+00:00,1.13255,1.13258,1.13243,1.13244,107,13,0
2026-06-24 16:12:00+00:00,1.13243,1.13264,1.13243,1.1326,77,13,0
2026-06-24 16:13:00+00:00,1.13259,1.1326100000000001,1.13249,1.1325,109,13,0
2026-06-24 16:14:00+00:00,1.1325,1.13255,1.13244,1.13253,84,13,0
2026-06-24 16:15:00+00:00,1.13253,1.13265,1.13249,1.1325,105,13,0
2026-06-24 16:16:00+00:00,1.1325,1.13258,1.13244,1.13255,82,13,0
2026-06-24 16:17:00+00:00,1.13255,1.13268,1.13247,1.13265,97,13,0
2026-06-24 16:18:00+00:00,1.13265,1.13266,1.13247,1.13254,106,13,0
2026-06-24 16:19:00+00:00,1.13254,1.1329500000000001,1.13252,1.13289,114,13,0
2026-06-24 16:20:00+00:00,1.13289,1.13289,1.13259,1.1326,121,13,0
2026-06-24 16:21:00+00:00,1.13259,1.1327,1.13257,1.13265,94,13,0
2026-06-24 16:22:00+00:00,1.13265,1.1329799999999999,1.13262,1.1329500000000001,83,13,0
2026-06-24 16:23:00+00:00,1.13294,1.13296,1.13282,1.13284,126,13,0
2026-06-24 16:24:00+00:00,1.13284,1.13316,1.13284,1.13315,125,13,0
2026-06-24 16:25:00+00:00,1.13315,1.13352,1.13315,1.13352,142,13,0
2026-06-24 16:26:00+00:00,1.13351,1.13373,1.13344,1.13367,146,13,0
2026-06-24 16:27:00+00:00,1.13367,1.13372,1.13346,1.13357,136,13,0
2026-06-24 16:28:00+00:00,1.1335600000000001,1.13358,1.13345,1.13351,131,13,0
2026-06-24 16:29:00+00:00,1.13352,1.13379,1.1335,1.13372,129,13,0
2026-06-24 16:30:00+00:00,1.13371,1.13392,1.13365,1.1338,196,13,0
2026-06-24 16:31:00+00:00,1.13381,1.13404,1.1337,1.13404,167,13,0
2026-06-24 16:32:00+00:00,1.13402,1.1341700000000001,1.13398,1.13407,197,13,0
2026-06-24 16:33:00+00:00,1.13406,1.13424,1.13405,1.13409,204,13,0
2026-06-24 16:34:00+00:00,1.13408,1.13415,1.13377,1.1338300000000001,171,13,0
2026-06-24 16:35:00+00:00,1.13382,1.13385,1.13371,1.13384,154,13,0
2026-06-24 16:36:00+00:00,1.13384,1.13416,1.1338,1.1338,193,13,0
2026-06-24 16:37:00+00:00,1.1338,1.13392,1.13374,1.13377,128,13,0
2026-06-24 16:38:00+00:00,1.13376,1.13381,1.13363,1.13373,144,13,0
2026-06-24 16:39:00+00:00,1.13373,1.13385,1.13362,1.13381,139,13,0
2026-06-24 16:40:00+00:00,1.1338,1.1339,1.13377,1.13384,162,13,0
2026-06-24 16:41:00+00:00,1.13384,1.134,1.1338,1.1338,143,13,0
2026-06-24 16:42:00+00:00,1.13381,1.1341,1.13379,1.13398,177,13,0
2026-06-24 16:43:00+00:00,1.13397,1.134,1.13388,1.13392,149,13,0
2026-06-24 16:44:00+00:00,1.13392,1.13401,1.13384,1.13392,164,13,0
2026-06-24 16:45:00+00:00,1.13392,1.13397,1.13342,1.1335899999999999,210,13,0
2026-06-24 16:46:00+00:00,1.1336,1.1336,1.13331,1.13341,182,13,0
2026-06-24 16:47:00+00:00,1.13341,1.13346,1.13337,1.13344,180,13,0
2026-06-24 16:48:00+00:00,1.13344,1.1335600000000001,1.13343,1.1335600000000001,180,13,0
2026-06-24 16:49:00+00:00,1.13357,1.13386,1.13354,1.13379,188,13,0
2026-06-24 16:50:00+00:00,1.13378,1.13411,1.13376,1.13388,215,13,0
2026-06-24 16:51:00+00:00,1.13388,1.13411,1.13381,1.13409,186,13,0
2026-06-24 16:52:00+00:00,1.1341,1.13428,1.13408,1.13419,183,13,0
2026-06-24 16:53:00+00:00,1.1342,1.13426,1.13408,1.13408,181,13,0
2026-06-24 16:54:00+00:00,1.13408,1.13437,1.134,1.13436,160,13,0
2026-06-24 16:55:00+00:00,1.13437,1.13446,1.13425,1.13445,144,13,0
2026-06-24 16:56:00+00:00,1.13445,1.13464,1.13445,1.1346,151,13,0
2026-06-24 16:57:00+00:00,1.13461,1.13474,1.1344,1.1344,149,13,0
2026-06-24 16:58:00+00:00,1.13439,1.1344400000000001,1.13432,1.1344,134,13,0
2026-06-24 16:59:00+00:00,1.13439,1.13441,1.13429,1.13436,138,13,0
2026-06-24 17:00:00+00:00,1.13436,1.13457,1.13425,1.13426,150,13,0
2026-06-24 17:01:00+00:00,1.13426,1.13461,1.13416,1.13445,141,13,0
2026-06-24 17:02:00+00:00,1.1344400000000001,1.13455,1.13418,1.13453,144,13,0
2026-06-24 17:03:00+00:00,1.13453,1.13481,1.13453,1.13475,149,13,0
2026-06-24 17:04:00+00:00,1.13475,1.13491,1.13474,1.13491,111,13,0
2026-06-24 17:05:00+00:00,1.13491,1.13493,1.13475,1.13487,132,13,0
2026-06-24 17:06:00+00:00,1.13487,1.135,1.13486,1.13498,143,13,0
2026-06-24 17:07:00+00:00,1.13499,1.13499,1.1347,1.1347,149,13,0
2026-06-24 17:08:00+00:00,1.13469,1.13493,1.13464,1.13492,153,13,0
2026-06-24 17:09:00+00:00,1.13491,1.13514,1.13487,1.13513,145,13,0
2026-06-24 17:10:00+00:00,1.13512,1.13516,1.1347800000000001,1.13479,160,13,0
2026-06-24 17:11:00+00:00,1.13479,1.13479,1.1344400000000001,1.13445,167,13,0
2026-06-24 17:12:00+00:00,1.1344400000000001,1.13466,1.13439,1.13462,159,13,0
2026-06-24 17:13:00+00:00,1.13461,1.13461,1.13436,1.13446,126,13,0
2026-06-24 17:14:00+00:00,1.13447,1.13466,1.13445,1.13461,180,13,0
2026-06-24 17:15:00+00:00,1.13463,1.13474,1.13433,1.13436,184,13,0
2026-06-24 17:16:00+00:00,1.13436,1.1344,1.1342,1.13424,143,13,0
2026-06-24 17:17:00+00:00,1.13424,1.1343,1.13413,1.13415,114,13,0
2026-06-24 17:18:00+00:00,1.13415,1.13424,1.13409,1.13419,138,13,0
2026-06-24 17:19:00+00:00,1.13418,1.13434,1.13405,1.13405,145,13,0
2026-06-24 17:20:00+00:00,1.13404,1.13405,1.1338300000000001,1.13389,174,13,0
2026-06-24 17:21:00+00:00,1.13389,1.1341,1.13387,1.13408,158,13,0
2026-06-24 17:22:00+00:00,1.13408,1.1343,1.13404,1.13409,149,13,0
2026-06-24 17:23:00+00:00,1.1341,1.13423,1.13405,1.1341,132,13,0
2026-06-24 17:24:00+00:00,1.1341,1.13425,1.13408,1.13421,93,13,0
2026-06-24 17:25:00+00:00,1.1342,1.13436,1.1342,1.13433,109,13,0
2026-06-24 17:26:00+00:00,1.13434,1.13461,1.13433,1.13456,104,13,0
2026-06-24 17:27:00+00:00,1.13456,1.1346,1.13443,1.13456,136,13,0
2026-06-24 17:28:00+00:00,1.1345399999999999,1.13465,1.13442,1.13461,136,13,0
2026-06-24 17:29:00+00:00,1.13462,1.13464,1.1344,1.1344,132,13,0
2026-06-24 17:30:00+00:00,1.1344,1.13445,1.1343,1.13434,114,13,0
2026-06-24 17:31:00+00:00,1.13434,1.1344400000000001,1.13423,1.13429,127,13,0
2026-06-24 17:32:00+00:00,1.13429,1.13439,1.13409,1.13435,104,13,0
2026-06-24 17:33:00+00:00,1.13434,1.13446,1.13433,1.1344400000000001,103,13,0
2026-06-24 17:34:00+00:00,1.1344400000000001,1.13459,1.13443,1.13449,89,13,0
2026-06-24 17:35:00+00:00,1.13449,1.1345,1.13432,1.13441,92,13,0
2026-06-24 17:36:00+00:00,1.13441,1.13442,1.1342,1.13424,89,13,0
2026-06-24 17:37:00+00:00,1.13424,1.13425,1.13399,1.13403,78,13,0
2026-06-24 17:38:00+00:00,1.13403,1.13409,1.1339,1.1339,112,13,0
2026-06-24 17:39:00+00:00,1.1339,1.13394,1.13378,1.13384,100,13,0
